amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,score
100016,0.026352458116335464,-0.20151706755966936,-0.08969879640543672,0.7884407334841197,-0.24734440880673303,32.5
100025,0.04455091155784441,-0.5670947928476846,0.03319866074294831,0.06071304883828607,-0.04308263824636349,17.0
100033,0.30099703552874524,1.093698743534631,0.11442300096849978,0.9915895273399906,-0.16217208574644848,77.75
101206,0.23520488754230384,1.0272133278753695,0.09744276980996124,0.7370150749441956,-0.11291596329323073,64.375
101207,0.07933120999915699,0.16266076928646772,-0.35074122431691096,2.8781840749412004,-0.3544691649336603,42.875
101208,0.06504429821332125,-0.8155673679088263,0.06103184313333541,-0.0010198340079364259,-0.0016224980244717857,22.25
102885,0.18218826089343754,0.8170993373494367,0.07188210134066052,0.616292265757131,-0.1085986215250232,52.25
102886,0.0117093879842316,-0.20583160785470309,-0.1156784482249716,0.9014414037954364,-0.2800112356639287,28.25
102887,0.16828673461948984,0.6195175900829828,0.024546563427794304,0.8682864578367645,-0.21539827112383225,54.875
118632,0.2403119561352478,1.0816591793457042,0.057106039669331816,1.0119847058962186,-0.17414075086657232,70.0
118633,0.16262218000296524,0.6452074382933215,0.04422646866006804,0.698535228576799,-0.18629743138595511,54.5
118634,0.16361396476593382,0.44843400890899127,-0.17834516605752684,2.2420162446678216,-0.2334488614483311,46.375
118635,0.15945481185082522,0.664856998549062,0.05179487547677479,0.6258420867428852,-0.1165062450540909,45.5
118636,0.053131554027608274,-0.3566295075143678,0.03495242125822959,0.09956905729843599,-0.08316361763638702,20.625
119092,0.0636349475771898,0.03078485095458594,-0.115018727162994,1.1590213318629516,-0.1440161790933726,24.625
119093,0.07891944369437343,0.12961449795669328,-0.0781152813660859,1.0139262119982864,-0.21751396370148224,42.125
119094,0.28192608222062465,0.9982309868636413,0.016867230962721087,1.520896481602754,-0.20960883862039192,67.25
119095,0.015204552427132478,-0.0759735711747892,-0.3056243461244477,2.2108490756850485,-0.5167775370852656,31.875
119120,0.05885271270380055,-0.22657538662791576,0.04251454061462542,0.08487388027964798,-0.04328728923970093,21.875
119551,0.2578492084946409,1.2082665673727175,0.14151304739808193,0.5629308778564813,-0.1501238549864533,76.5
119552,0.21508021785499332,0.9532794968660104,0.06197305331497181,0.8546331906290231,-0.11803493502764295,58.0
119598,0.3239808398464554,0.9453082575156095,-0.08812721951686422,2.457368834340668,-0.2870600572176455,73.625
119599,0.02053064146209893,-0.05718662582817995,-0.27362422338435166,2.03965414498836,-0.5257422117012851,34.375
120503,0.18771330105513617,0.7979728586052847,0.028728935886037796,0.9247921208111867,-0.13897862823061635,50.75
120504,0.2327744753273051,1.0265242847993001,0.11599437019255472,0.6065291576079518,-0.12588275606922517,66.875
120505,0.3280159948038617,1.1801011976606492,0.10264725537819627,1.1948147642957916,-0.18188513572116294,86.125
120506,0.17072227512921923,0.6488787755249534,0.018469334050126258,0.914058887459882,-0.1982565826298267,54.0
120507,0.0723241093234459,0.4957233929533123,0.06836000378313713,-0.005732200015387921,-0.0009773140045925555,35.375
120841,0.13522349085511554,0.4942725378672349,0.020996230009682273,0.6951836824355575,-0.1757361416468729,46.375
120842,0.06696806255006482,0.07599984804658921,-0.09246402314999572,1.075704655273852,-0.24003511326274884,39.0
120843,0.30883325525154603,1.3067439695428409,0.10264488235821481,1.0687458558332725,-0.1297396816518679,76.25
120844,0.0691037983940288,-0.08874729621557288,0.06624144385499518,-0.010671268007490773,-0.0011629327956168556,27.875
125497,0.19003613208378556,0.7757902498211205,0.03371692785650554,0.9123261794104114,-0.15200013055606398,54.375
125498,0.11293660210400969,0.3006119210425478,-0.09849952597540401,1.3750608967383793,-0.21117279560132118,41.625
148567,0.30949920362874206,1.4482911703262598,0.18196793619353316,0.5571340440928769,-0.11265729075028275,77.0
148568,0.22499840384352243,0.9262873467360146,0.07904245498406462,0.8104117143433328,-0.1527259422823477,63.875
148569,0.31924485848158723,1.2349300257743294,0.0964729741905604,1.1745863251691935,-0.1639674294693263,81.125
149322,0.13383520958789363,0.4640374492204776,-0.019263725813704557,0.9487248528073089,-0.14844576917771746,38.5
149323,0.29558105232568344,1.1321218524747243,0.08772338760612475,1.1204823921524785,-0.17248105753451382,76.375
149324,0.3226210752841656,0.9497958246616031,-0.051278045623042966,2.214803834236839,-0.31171900300634214,75.125
