amfi_code,alpha,beta
100016,-0.08969879640543672,0.7884407334841197
100025,0.03319866074294831,0.06071304883828607
100033,0.11442300096849978,0.9915895273399906
101206,0.09744276980996124,0.7370150749441956
101207,-0.35074122431691096,2.8781840749412004
101208,0.06103184313333541,-0.0010198340079364259
102885,0.07188210134066052,0.616292265757131
102886,-0.1156784482249716,0.9014414037954364
102887,0.024546563427794304,0.8682864578367645
118632,0.057106039669331816,1.0119847058962186
118633,0.04422646866006804,0.698535228576799
118634,-0.17834516605752684,2.2420162446678216
118635,0.05179487547677479,0.6258420867428852
118636,0.03495242125822959,0.09956905729843599
119092,-0.115018727162994,1.1590213318629516
119093,-0.0781152813660859,1.0139262119982864
119094,0.016867230962721087,1.520896481602754
119095,-0.3056243461244477,2.2108490756850485
119120,0.04251454061462542,0.08487388027964798
119551,0.14151304739808193,0.5629308778564813
119552,0.06197305331497181,0.8546331906290231
119598,-0.08812721951686422,2.457368834340668
119599,-0.27362422338435166,2.03965414498836
120503,0.028728935886037796,0.9247921208111867
120504,0.11599437019255472,0.6065291576079518
120505,0.10264725537819627,1.1948147642957916
120506,0.018469334050126258,0.914058887459882
120507,0.06836000378313713,-0.005732200015387921
120841,0.020996230009682273,0.6951836824355575
120842,-0.09246402314999572,1.075704655273852
120843,0.10264488235821481,1.0687458558332725
120844,0.06624144385499518,-0.010671268007490773
125497,0.03371692785650554,0.9123261794104114
125498,-0.09849952597540401,1.3750608967383793
148567,0.18196793619353316,0.5571340440928769
148568,0.07904245498406462,0.8104117143433328
148569,0.0964729741905604,1.1745863251691935
149322,-0.019263725813704557,0.9487248528073089
149323,0.08772338760612475,1.1204823921524785
149324,-0.051278045623042966,2.214803834236839
